mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_features,param_n_estimators,params,split0_test_fl_score_deseased,split1_test_fl_score_deseased,split2_test_fl_score_deseased,split3_test_fl_score_deseased,split4_test_fl_score_deseased,mean_test_fl_score_deseased,std_test_fl_score_deseased,rank_test_fl_score_deseased,split0_test_recall_deseased,split1_test_recall_deseased,split2_test_recall_deseased,split3_test_recall_deseased,split4_test_recall_deseased,mean_test_recall_deseased,std_test_recall_deseased,rank_test_recall_deseased,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall
28.194928646087646,1.0986694418354173,2.8839993476867676,0.1709515184999556,gini,0.8,20,"{'criterion': 'gini', 'max_features': 0.8, 'n_estimators': 20}",0.19866071428571427,0.18630751964085296,0.23595505617977527,0.22295081967213115,0.22508038585209,0.21379089912611274,0.018367717082317155,2,0.12430167597765363,0.11592178770949721,0.14644351464435146,0.14225941422594143,0.14644351464435146,0.13507398144035904,0.012593745309126993,1,0.8717607746863066,0.8731758046917621,0.8728518821603928,0.8731587561374795,0.8713175122749591,0.8724529459901801,0.0007678741524434903,15,0.6740187353943184,0.6726615200027365,0.6791032194947989,0.678902259460219,0.6785223967462486,0.6766416262196643,0.002735982589632751,1
64.40488033294677,2.6246607725195163,3.027208185195923,0.0831560710133013,gini,0.8,50,"{'criterion': 'gini', 'max_features': 0.8, 'n_estimators': 50}",0.18620689655172415,0.19607843137254902,0.22423556058890148,0.21160409556313992,0.2273224043715847,0.20908947768957983,0.015881225339557315,11,0.11312849162011174,0.11871508379888268,0.13807531380753138,0.1297071129707113,0.14504881450488144,0.1289349633404237,0.01181599684454964,11,0.871573240589198,0.8731587561374795,0.873516775777414,0.8726472995090017,0.870942444080742,0.872367703218767,0.000968177776140079,16,0.6710530296705639,0.6735016231072204,0.6779122438946746,0.675209217593314,0.6778172976737897,0.6750986823879126,0.0026167582888760275,15
124.24927582740784,1.235588094575087,3.8276786327362062,0.20820270713523564,gini,0.8,100,"{'criterion': 'gini', 'max_features': 0.8, 'n_estimators': 100}",0.18971428571428572,0.2,0.22805017103762829,0.22448979591836735,0.22637362637362635,0.21372557580878154,0.01578587425145293,3,0.11592178770949721,0.12150837988826815,0.1394700139470014,0.13807531380753138,0.14365411436541142,0.1317259219435419,0.010924617494381006,5,0.8723915711947627,0.8734315330060011,0.8735679214402619,0.873056464811784,0.8710617839607201,0.8727018548827059,0.0009158993660528587,7,0.672414068106379,0.6741481211623016,0.6782438740243162,0.6776105175324996,0.6774939358145897,0.6759821033280172,0.0022868031353164646,4
19.85266795158386,0.4105877678316106,2.521473598480225,0.03803577766256464,gini,0.6,20,"{'criterion': 'gini', 'max_features': 0.6, 'n_estimators': 20}",0.1981981981981982,0.19634703196347034,0.23529411764705882,0.22197309417040362,0.2214983713355049,0.2146621626629272,0.01504903434392598,1,0.12290502793296089,0.12011173184357542,0.14783821478382148,0.13807531380753138,0.14225941422594143,0.1342379405187661,0.010881375037094316,2,0.8725109110747409,0.8734997272231315,0.8732439989088925,0.872885979268958,0.8712322695035462,0.8726745771958537,0.000794587008426266,9,0.6741589237009318,0.6736550470758369,0.6796041084257087,0.6773283828327301,0.6775635268909761,0.6764619977852367,0.002236960939358386,2
48.65822906494141,0.9921015595038579,3.00238938331604,0.09771995729876315,gini,0.6,50,"{'criterion': 'gini', 'max_features': 0.6, 'n_estimators': 50}",0.19014891179839633,0.19653179190751446,0.23129251700680273,0.21633554083885206,0.22975929978118162,0.21281361226654946,0.016851210924597106,4,0.11592178770949721,0.11871508379888268,0.14225941422594143,0.13668061366806136,0.14644351464435146,0.13200408280934683,0.012415930617019498,3,0.8722040370976542,0.8737554555373704,0.8741305237315876,0.8729200763775232,0.8710958810692854,0.872821194762684,0.0010912885999418338,4,0.6719700391826514,0.673623405405358,0.6794081605173944,0.6774192620618044,0.6781647692070727,0.6761171272748563,0.0028332412779840483,3
96.2027898311615,1.2510477557300472,3.710840368270874,0.1652967927541616,gini,0.6,100,"{'criterion': 'gini', 'max_features': 0.6, 'n_estimators': 100}",0.1818181818181818,0.1958041958041958,0.23476297968397292,0.22171945701357462,0.22319474835886216,0.21145991253575747,0.019543445087875047,5,0.11033519553072625,0.11731843575418995,0.14504881450488144,0.13668061366806136,0.14225941422594143,0.1303284947367601,0.013916736088051787,8,0.8723404255319149,0.873516775777414,0.8737895526459356,0.8732099018003273,0.8713345608292417,0.8728382433169667,0.0008958135228408579,1,0.6708160867674724,0.6732512370713618,0.679828292602307,0.6775630353859871,0.6773564954753895,0.6757630294605036,0.003258430993553884,6
13.199511003494262,0.38699449133857367,2.4986291885375977,0.041188578395040754,gini,0.4,20,"{'criterion': 'gini', 'max_features': 0.4, 'n_estimators': 20}",0.19775280898876405,0.19384264538198406,0.22372881355932203,0.2100558659217877,0.22295081967213115,0.2096661907047978,0.01238308382930604,9,0.12290502793296089,0.11871508379888268,0.13807531380753138,0.13110181311018132,0.14225941422594143,0.13061133057509955,0.008860443096382226,7,0.8722210856519367,0.8729030278232406,0.873602018548827,0.8723915711947627,0.8714368521549373,0.8725109110747408,0.0007205712192874688,13,0.6737529311261296,0.6731933928080283,0.6778916213104631,0.6752573424552277,0.6774823037324048,0.6755155182864507,0.0019015649116574005,7
32.292864608764646,0.3482981895986307,2.9421074390411377,0.04579099338934935,gini,0.4,50,"{'criterion': 'gini', 'max_features': 0.4, 'n_estimators': 50}",0.19340159271899884,0.1983852364475202,0.22954545454545458,0.2127659574468085,0.21926910299003322,0.21067346882976307,0.013294612740117872,7,0.11871508379888268,0.12011173184357542,0.14086471408647142,0.13249651324965134,0.13807531380753138,0.13005267135722243,0.009106026500255798,9,0.8726813966175668,0.8731246590289143,0.8737554555373704,0.8725961538461539,0.8709594926350246,0.872623431533006,0.0009279551744082883,11,0.6730237159232831,0.6737665769294989,0.6786627944735769,0.6757543632123344,0.6761390891071447,0.6754693079291676,0.001980324860553727,9
64.10619797706605,1.5747006346336896,3.643604850769043,0.04394166100309478,gini,0.4,100,"{'criterion': 'gini', 'max_features': 0.4, 'n_estimators': 100}",0.18140068886337543,0.19607843137254902,0.22799097065462756,0.21242937853107344,0.221978021978022,0.2079754982799295,0.017113080085795963,16,0.11033519553072625,0.11871508379888268,0.14086471408647142,0.13110181311018132,0.14086471408647142,0.1283763041225466,0.012150472776480934,16,0.872255182760502,0.8735508728859793,0.8739259410801964,0.8731246590289143,0.8713175122749591,0.8728348336061101,0.0009407960109190781,3,0.6709802598956777,0.67345989196845,0.6787948528420558,0.675967169903965,0.6772270731930048,0.6752858495606306,0.002771926193879387,12
20.794781160354614,0.2703362080382728,2.5390302181243896,0.06627999335545014,entropy,0.8,20,"{'criterion': 'entropy', 'max_features': 0.8, 'n_estimators': 20}",0.1793416572077185,0.1986301369863014,0.2306830907054871,0.21336206896551724,0.22319474835886216,0.2090423404447773,0.01831839153263605,12,0.11033519553072625,0.12150837988826815,0.14365411436541142,0.13807531380753138,0.14225941422594143,0.13116648356357574,0.013068645658776832,6,0.8719824058919804,0.8733292416803055,0.8737554555373704,0.8720165030005456,0.8704991816693944,0.8723165575559193,0.001148956197637109,17,0.6704923638397429,0.6741031222163597,0.6795947920417982,0.6763998805472213,0.6766445705086997,0.6754469458307644,0.00302987663926446,10
51.172031784057616,0.30609091232914976,2.9189790725708007,0.03556817266344264,entropy,0.8,50,"{'criterion': 'entropy', 'max_features': 0.8, 'n_estimators': 50}",0.17993079584775087,0.19517795637198623,0.2247191011235955,0.21548821548821545,0.2251655629139073,0.20809632634909106,0.01779042941832464,15,0.10893854748603352,0.11871508379888268,0.1394700139470014,0.13389121338912133,0.14225941422594143,0.12865485456939607,0.012782824237829645,14,0.8721699399890889,0.8731587561374795,0.8733462902345881,0.8729030278232406,0.8712834151663938,0.8725722858701582,0.0007583521964328544,12,0.6704916853860508,0.6731464602616418,0.6780395268634717,0.6763720862751307,0.677182319512565,0.675046415659772,0.002815443158998277,16
101.50889477729797,0.956513713874639,3.4998140811920164,0.0479670619650125,entropy,0.8,100,"{'criterion': 'entropy', 'max_features': 0.8, 'n_estimators': 100}",0.18475750577367203,0.19512195121951217,0.23033067274800456,0.21218961625282168,0.2261640798226164,0.20971276516332535,0.01753588025310831,8,0.11173184357541899,0.11731843575418995,0.14086471408647142,0.13110181311018132,0.14225941422594143,0.12865524415044063,0.012288653391423331,13,0.8721017457719585,0.8735508728859793,0.8734485815602837,0.8732610474631751,0.8714539007092199,0.8727632296781234,0.0008354417848421347,5,0.6710924340052111,0.6732134790899778,0.6786169480943844,0.676275743300665,0.6777085715936783,0.6753814352167833,0.0028206190599692127,11
16.70135102272034,0.19623500167693939,2.5045348167419434,0.051728682392276126,entropy,0.6,20,"{'criterion': 'entropy', 'max_features': 0.6, 'n_estimators': 20}",0.19797525309336333,0.19750283768444948,0.2274247491638796,0.2064372918978912,0.22417582417582418,0.2107031912030816,0.012771608968945644,6,0.12290502793296089,0.12150837988826815,0.14225941422594143,0.1297071129707113,0.14225941422594143,0.13172786984876464,0.009035384073973172,4,0.8715220949263502,0.873516775777414,0.87322695035461,0.8724768139661757,0.8717266775777414,0.8724938625204584,0.0007895523985563281,14,0.6733840937759584,0.6741914447761471,0.6785805231749418,0.6752029727096186,0.6775641842355179,0.6757846437344368,0.0019810588303119762,5
41.224522542953494,0.5930975780500831,3.0450535297393797,0.20731463106506778,entropy,0.6,50,"{'criterion': 'entropy', 'max_features': 0.6, 'n_estimators': 50}",0.18518518518518517,0.1993127147766323,0.22850678733031676,0.21380846325167038,0.22002200220022,0.2093670305488049,0.01539763583046792,10,0.11173184357541899,0.12150837988826815,0.14086471408647142,0.13389121338912133,0.1394700139470014,0.12949323297725626,0.011201908812118362,10,0.8720506001091107,0.8730905619203492,0.8738406983087834,0.8732780960174578,0.8713345608292417,0.8727189034369885,0.0009024725922006753,6,0.6711223979836733,0.6738752059235079,0.6789107524466105,0.676755610072616,0.6768149312689979,0.6754957795390812,0.002710796904661126,8
81.28932318687438,1.2725183657900108,3.590095567703247,0.09056828045016817,entropy,0.6,100,"{'criterion': 'entropy', 'max_features': 0.6, 'n_estimators': 100}",0.18872266973532797,0.19444444444444445,0.2245131729667812,0.21218961625282168,0.22369878183831676,0.2087137370475384,0.014761510509914992,14,0.11452513966480447,0.11731843575418995,0.13668061366806136,0.13110181311018132,0.14086471408647142,0.12809814325674168,0.010450786401486317,18,0.8721187943262412,0.8735508728859793,0.8739088925259137,0.873056464811784,0.8715561920349154,0.8728382433169667,0.0008789782240892762,1,0.6718509959123135,0.6733089777381183,0.6778118269266991,0.6760476653406723,0.6772699383661229,0.6752578808567853,0.0023065066169737094,13
11.885525798797607,0.19562935453495026,2.551960277557373,0.055878003651865155,entropy,0.4,20,"{'criterion': 'entropy', 'max_features': 0.4, 'n_estimators': 20}",0.19165727170236754,0.19332566168009205,0.23266219239373598,0.20331491712707178,0.2119205298013245,0.20657611454091834,0.014952110308912001,18,0.11871508379888268,0.11731843575418995,0.14504881450488144,0.12831241283124128,0.13389121338912133,0.12865719205566334,0.01023339679289478,12,0.8718971631205674,0.8730735133660665,0.8729200763775232,0.8724938625204582,0.8708231042007638,0.8722415439170759,0.0008181458920464776,18,0.6725482371989515,0.6727201164756068,0.6790747097518509,0.674955248329047,0.6747423170363214,0.6748081257583556,0.0023535757424830678,18
32.8158935546875,4.803720742763887,3.0461124897003176,0.08858064770708583,entropy,0.4,50,"{'criterion': 'entropy', 'max_features': 0.4, 'n_estimators': 50}",0.18475750577367203,0.20554272517321018,0.22497187851518557,0.20689655172413793,0.21507760532150774,0.20744925330154268,0.013297292080154599,17,0.11173184357541899,0.12430167597765363,0.1394700139470014,0.1297071129707113,0.13528591352859135,0.12809931199987531,0.009652369556203204,17,0.8728348336061102,0.8735338243316967,0.87368726132024,0.8722210856519367,0.8711470267321331,0.8726848063284234,0.0009303825790628767,8,0.6717678434213885,0.674961926518161,0.6783320703336126,0.6746071192358372,0.6753949860436911,0.6750127891105381,0.0020909581492531363,17
61.728234958648684,15.177567987030995,3.1281814098358156,0.574995233576291,entropy,0.4,100,"{'criterion': 'entropy', 'max_features': 0.4, 'n_estimators': 100}",0.18620689655172415,0.20578034682080923,0.22624434389140272,0.20885357548240638,0.21729490022172948,0.20887601259361438,0.013386628201949325,13,0.11312849162011174,0.12430167597765363,0.1394700139470014,0.12831241283124128,0.13668061366806136,0.1283786416088139,0.00939291637462391,15,0.8721528914348063,0.873857746863066,0.87368726132024,0.8728348336061102,0.8706696672122204,0.8726404800872885,0.0011607849693990122,10,0.6715694081277606,0.6751347671946748,0.678397741212167,0.6752071504031001,0.6756214957261418,0.6751861125327688,0.0021719920344394836,14
